@relation arff_backlog-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute procmem_read numeric
@attribute winhooks_used numeric
@attribute services_opened numeric
@attribute regkeys_read numeric
@attribute network_connections numeric
@attribute memory_modified numeric
@attribute regkeys_created numeric
@attribute processes_exited numeric
@attribute files_deleted numeric
@attribute regkeys_deleted numeric
@attribute threads numeric
@attribute directories_created numeric
@attribute mutexes_created numeric
@attribute regkeys_opened numeric
@attribute files_created numeric
@attribute services_modified numeric
@attribute files_opened numeric
@attribute files_copied numeric
@attribute processes_created numeric
@attribute directories_searched numeric
@attribute files_written numeric
@attribute mutexes_opened numeric
@attribute regkeys_closed numeric
@attribute libraries_loaded numeric
@attribute files_moved numeric
@attribute debugger_check numeric
@attribute regkeys_written numeric
@attribute services_created numeric
@attribute services_started numeric
@attribute system_modified numeric
@attribute files_executed numeric
@attribute files_read numeric
@attribute processes_modified numeric
@attribute directories_deleted numeric
@attribute files_modified numeric
@attribute procmem_written numeric
@attribute dlls_loaded numeric
@attribute class {emf_good,emf_bad,jpg_good,jpg_bad,gif_good,gif_bad,doc_good,doc_bad,docx_good,docx_bad,WMF_good,WMF_bad,bmp_good,bmp_bad,pptx_good,pptx_bad,png_good,png_bad,xls_good,xls_bad,xlsx_good,xlsx_bad,pdf_good,pdf_bad,exe_good,exe_bad,zip_good,zip_bad,rtf_good,rtf_bad,ppt_good,ppt_bad,xml_good,xml_bad,xhtml_good,xhtml_bad,tif_good,tif_bad,elf_good,elf_bad,sh_good,sh_bad,other_good,other_bad}

@data
29,0,0,308,0,68,87,0,0,2,11,21,2,87,238,0,6,0,1,3005,0,2,74,130,0,1,3,0,0,0,0,3,4,0,3,66,28,pdf_bad
0,0,0,3352,0,96,4,0,0,0,5,1,0,46,63,0,27,0,2,118,0,0,2,37,0,1,0,0,0,0,0,88,3,0,4,0,27,gif_bad
0,0,0,3280,0,131,1,1,0,0,4,1,0,63,82,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,98,4,0,6,0,35,jpg_bad
0,15,1,8653,31,352,97,0,1,16,16,6,32,4848,213,1,30,0,0,179,7,13,1866,176,1,28,24,0,1,0,0,258,264,0,26,0,184,doc_bad
29,0,0,232,0,66,71,0,0,1,10,21,2,65,140,0,5,0,1,1558,0,2,68,120,0,1,0,0,0,0,0,2,3,0,0,67,22,pdf_bad
0,17,1,9127,21,357,104,0,1,16,23,6,34,5775,178,1,35,0,0,302,5,31,2440,257,1,30,36,0,1,0,0,234,2491,0,16,0,188,doc_bad
29,0,0,308,0,67,86,0,0,1,11,21,2,86,242,0,6,0,1,3050,0,2,72,128,0,1,3,0,0,0,0,3,2,0,3,66,28,pdf_bad
29,0,0,232,0,65,47,0,0,1,9,21,2,58,67,0,5,0,1,748,0,2,52,120,0,1,0,0,0,0,0,2,3,0,0,66,22,pdf_bad
29,0,0,308,0,68,86,0,0,1,11,21,2,76,222,0,6,0,1,2810,0,2,72,128,0,1,3,0,0,0,0,3,4,0,3,65,28,pdf_bad
0,7,0,7010,21,261,65,0,1,16,14,6,32,3785,192,0,31,0,0,167,5,7,1773,165,1,7,24,0,0,0,0,246,189,0,19,0,176,doc_bad
0,7,0,8497,21,218,189,0,0,13,17,8,36,3852,186,0,30,0,1,163,9312,11,1791,167,1,3,22,0,0,0,0,1935,178,0,1637,0,192,rtf_bad
0,2,4,2303,6,171,48,0,0,14,24,39,20,586,55,4,28,0,1,48,56,11,355,35,0,1,37,0,0,0,0,147,5675,0,107,0,98,xhtml_bad
0,0,0,3277,0,130,1,1,0,0,4,1,0,63,80,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,96,4,0,6,0,35,jpg_bad
0,7,0,8059,21,262,71,0,1,21,15,6,32,4737,187,0,30,0,0,170,6,7,1860,168,1,7,35,0,0,0,0,249,186,0,20,0,178,doc_bad
0,7,0,4264,11,174,17,0,0,13,15,6,29,2674,92,0,14,0,0,44,5,9,1166,130,1,2,14,0,0,0,0,220,3578,0,12,0,163,docx_bad
0,0,0,3343,0,96,4,0,0,0,4,1,0,46,63,0,27,0,2,118,0,0,2,37,0,1,0,0,0,0,0,88,3,0,4,0,27,gif_bad
29,0,0,232,0,66,71,0,0,1,10,21,2,65,140,0,5,0,1,1557,0,2,68,119,0,1,0,0,0,0,0,2,3,0,0,67,22,pdf_bad
0,0,0,3280,0,129,1,1,0,0,4,1,0,63,84,0,43,0,1,122,0,0,1,69,0,1,0,0,0,0,0,100,4,0,6,0,35,jpg_bad
0,0,0,1952,0,30,10,0,0,0,3,0,8,1683,15,0,1,0,0,5,0,3,817,41,1,1,5,0,0,0,0,4,55,0,0,0,41,pptx_bad
29,0,3,817,34,99,107,0,0,6,20,30,2,256,254,3,10,0,1,3159,0,9,207,134,0,1,24,0,0,0,0,8,6,0,8,67,60,pdf_bad
